,learning times,layer,node,learning rate,gene number,train_rate,tr-fold-1,tr-fold-2,tr-fold-3,tr-fold-4,tr-fold-5,te-fold-1,te-fold-2,te-fold-3,te-fold-4,te-fold-5
0,1000,3,1500 1500 1500,0.005,40,95,0.9541807174682617,0.9526135325431824,0.9553468823432922,0.9644458293914795,0.9672216773033142,0.9387837052345276,0.947255551815033,0.948945164680481,0.9534686803817749,0.9463840126991272
1,1000,3,1500 1500 1500,0.005,40,96,0.9709670543670654,0.9763067364692688,0.9655712246894836,0.962881863117218,0.9725625514984131,0.9544905424118042,0.9596912264823914,0.9548523426055908,0.9543147087097168,0.9584372639656067
2,1000,3,1500 1500 1500,0.005,40,97,0.9720228314399719,0.9746440649032593,0.9774647951126099,0.9752893447875977,0.9739239811897278,0.9573097229003906,0.947255551815033,0.9594936966896057,0.9598138928413391,0.9513715505599976
3,1000,3,1500 1500 1500,0.005,40,98,0.9816300868988037,0.5422425270080566,0.9835159182548523,0.5387342572212219,0.9871190786361694,0.9593234062194824,0.5355917811393738,0.9641350507736206,0.5499153733253479,0.9571903347969055
4,1000,3,1500 1500 1500,0.005,40,99,0.5424408912658691,0.5422425270080566,0.540636420249939,0.5391513109207153,0.5406848788261414,0.5352396368980408,0.5355917811393738,0.5421940684318542,0.5499153733253479,0.5419783592224121
5,1000,3,500 500 500,0.005,40,95,0.9528082609176636,0.9665384888648987,0.956181526184082,0.9548535346984863,0.9607288837432861,0.948449432849884,0.9562607407569885,0.9497890472412109,0.950930655002594,0.9285120368003845
6,1000,3,500 500 500,0.005,40,96,0.9622043967247009,0.9709030389785767,0.9698486924171448,0.9621520042419434,0.9760184288024902,0.913008451461792,0.9202401638031006,0.9531645774841309,0.9593908786773682,0.9534497261047363
7,1000,3,500 500 500,0.005,40,97,0.9748733043670654,0.9717344045639038,0.9732915759086609,0.9318110942840576,0.9729814529418945,0.956504225730896,0.9545454382896423,0.9497890472412109,0.9412013292312622,0.9156275987625122
8,1000,3,500 500 500,0.005,40,98,0.5469805598258972,0.9823340177536011,0.8310902714729309,0.8904181122779846,0.8488847017288208,0.5392670035362244,0.9562607407569885,0.948523223400116,0.9437394142150879,0.93682461977005
9,1000,3,500 500 500,0.005,40,99,0.9626266956329346,0.9318299889564514,0.9239436388015747,0.9256594777107239,0.8397737741470337,0.9420056343078613,0.9331046342849731,0.9518987536430359,0.9547377228736877,0.9393183588981628
10,1000,3,1500 1000 500,0.005,40,95,0.9563978314399719,0.950223445892334,0.9592071175575256,0.96173495054245,0.9648130536079407,0.9424083828926086,0.942967414855957,0.948945164680481,0.9517766237258911,0.9451371431350708
11,1000,3,1500 1000 500,0.005,40,96,0.9607263803482056,0.9683051109313965,0.9708920121192932,0.9610050916671753,0.9624044299125671,0.927909791469574,0.948113203048706,0.9599156379699707,0.952622652053833,0.9334995746612549
12,1000,3,1500 1000 500,0.005,40,97,0.9832136631011963,0.9746440649032593,0.9707877039909363,0.9717443585395813,0.9773798584938049,0.9585179090499878,0.9412521719932556,0.9569620490074158,0.9412013292312622,0.9480465650558472
13,1000,3,1500 1000 500,0.005,40,98,0.9815244674682617,0.5427621603012085,0.7748565673828125,0.9829006195068359,0.5407896041870117,0.9621425867080688,0.5355917811393738,0.8902953863143921,0.9648900032043457,0.5419783592224121
14,1000,3,1500 1000 500,0.005,40,99,0.5425464510917664,0.5423464775085449,0.5407407283782959,0.9292044639587402,0.9154885411262512,0.5352396368980408,0.5355917811393738,0.5421940684318542,0.9335871338844299,0.9226932525634766
15,1000,4,1000 2000 1000 500,0.005,40,95,0.9616765379905701,0.9533409476280212,0.9567031860351562,0.958607017993927,0.5406848788261414,0.9504631757736206,0.9566895365715027,0.9151898622512817,0.9538916945457458,0.5419783592224121
16,1000,3,500 250 500,0.005,40,95,0.9501689076423645,0.9630053043365479,0.9558685421943665,0.9540193676948547,0.9515132308006287,0.9331454038619995,0.9579759836196899,0.9523206949234009,0.952622652053833,0.9351620674133301
17,1000,4,2000 2000 1000 500,0.005,40,95,0.9723395109176636,0.9691364169120789,0.9557642340660095,0.9688249230384827,0.9598910808563232,0.9500604271888733,0.9549742937088013,0.9510548710823059,0.9644669890403748,0.9422277808189392
